dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.950000,0.000197,0.019679,0.983974,49.198677,0.000000
0.020000,0.000000,0.950000,0.000197,0.000000,-0.983974,-98.397353,0.000000
0.020000,0.000058,0.950000,0.000255,0.002917,0.145828,56.490075,0.000000
0.020000,0.002420,0.950000,0.002617,0.118077,5.758013,280.609264,0.000000
0.020000,0.005569,0.950000,0.005765,0.157436,1.967947,-189.503308,0.000000
0.020000,0.009504,0.950000,0.009701,0.196795,1.967947,-0.000000,0.000000
0.020000,0.014228,0.950000,0.014424,0.236154,1.967947,0.000000,0.000000
0.020000,0.019738,0.950000,0.019935,0.275513,1.967947,0.000000,0.000000
0.020000,0.026035,0.950000,0.026232,0.314872,1.967947,-0.000000,0.000000
0.020000,0.033120,0.950000,0.033317,0.354230,1.967947,0.000000,0.000000
0.020000,0.040992,0.950000,0.041188,0.393589,1.967947,0.000000,0.000000
0.020000,0.049651,0.950000,0.049847,0.432948,1.967947,-0.000000,0.000000
0.020000,0.059097,0.950000,0.059294,0.472307,1.967947,0.000000,0.000000
0.020000,0.069330,0.950000,0.069527,0.511666,1.967947,0.000000,0.000000
0.020000,0.080351,0.950000,0.080547,0.551025,1.967947,-0.000000,0.000000
0.020000,0.092158,0.950000,0.092355,0.590384,1.967947,0.000000,0.000000
0.020000,0.104753,0.950000,0.104950,0.629743,1.967947,-0.000000,0.000000
0.020000,0.118135,0.950000,0.118332,0.669102,1.967947,-0.000000,0.000000
0.020000,0.132304,0.950000,0.132501,0.708461,1.967947,0.000000,0.000000
0.020000,0.147261,0.950000,0.147458,0.747820,1.967947,-0.000000,0.000000
0.020000,0.163004,0.950000,0.163201,0.787179,1.967947,0.000000,0.000000
0.020000,0.179535,0.950000,0.179732,0.826538,1.967947,-0.000000,0.000000
0.020000,0.196853,0.950000,0.197050,0.865897,1.967947,0.000000,0.000000
0.020000,0.214958,0.950000,0.215155,0.905256,1.967947,-0.000000,0.000000
0.020000,0.233850,0.950000,0.234047,0.944615,1.967947,0.000000,0.000000
0.020000,0.253530,0.950000,0.253727,0.983974,1.967947,-0.000000,0.000000
0.020000,0.273997,0.950000,0.274193,1.023332,1.967947,0.000000,0.000000
0.020000,0.295250,0.950000,0.295447,1.062691,1.967947,-0.000000,0.000000
0.020000,0.317291,0.950000,0.317488,1.102050,1.967947,-0.000000,0.000000
0.020000,0.340120,0.950000,0.340316,1.141409,1.967947,0.000000,0.000000
0.020000,0.363735,0.950000,0.363932,1.180768,1.967947,-0.000000,0.000000
0.020000,0.388137,0.950000,0.388334,1.220127,1.967947,0.000000,0.000000
0.020000,0.413327,0.950000,0.413524,1.259486,1.967947,-0.000000,0.000000
0.020000,0.439304,0.950000,0.439501,1.298845,1.967947,-0.000000,0.000000
0.020000,0.466068,0.950000,0.466265,1.338204,1.967947,0.000000,0.000000
0.020000,0.493619,0.950000,0.493816,1.377563,1.967947,-0.000000,0.000000
0.020000,0.521958,0.950000,0.522155,1.416922,1.967947,-0.000000,0.000000
0.020000,0.551084,0.950000,0.551280,1.456281,1.967947,0.000000,0.000000
0.020000,0.580996,0.950000,0.581193,1.495640,1.967947,0.000000,0.000000
0.020000,0.611696,0.950000,0.611893,1.534999,1.967947,-0.000000,0.000000
0.020000,0.643183,0.950000,0.643380,1.574358,1.967947,0.000000,0.000000
0.020000,0.675458,0.950000,0.675655,1.613717,1.967947,0.000000,0.000000
0.020000,0.708519,0.950000,0.708716,1.653076,1.967947,-0.000000,0.000000
0.020000,0.742368,0.950000,0.742565,1.692434,1.967947,0.000000,0.000000
0.020000,0.777004,0.950000,0.777201,1.731793,1.967947,0.000000,0.000000
0.020000,0.812427,0.950000,0.812624,1.771152,1.967947,-0.000000,0.000000
0.020000,0.848637,0.950000,0.848834,1.810511,1.967947,0.000000,0.000000
0.020000,0.885635,0.950000,0.885831,1.849870,1.967947,-0.000000,0.000000
0.020000,0.923419,0.950000,0.923616,1.889229,1.967947,0.000000,0.000000
0.020000,0.961991,0.950000,0.962188,1.928588,1.967947,0.000000,0.000000
0.020000,1.001350,0.950000,1.001547,1.967947,1.967947,-0.000000,0.000000
0.020000,1.041496,0.950000,1.041693,2.007306,1.967947,0.000000,0.000000
0.020000,1.082429,0.950000,1.082626,2.046665,1.967947,-0.000000,0.000000
0.020000,1.124150,0.950000,1.124346,2.086024,1.967947,0.000000,0.000000
0.020000,1.166657,0.950000,1.166854,2.125383,1.967947,-0.000000,0.000000
0.020000,1.209952,0.950000,1.210149,2.164742,1.967947,0.000000,0.000000
0.020000,1.253792,0.950000,1.253989,2.191990,1.362402,-30.277247,0.000000
0.020000,1.297541,0.950000,1.297738,2.187447,-0.227116,-79.475924,0.000000
0.020000,1.340654,0.950000,1.340851,2.155657,-1.589518,-68.120106,0.000000
0.020000,1.382980,0.950000,1.383177,2.116298,-1.967947,-18.921429,0.000000
0.020000,1.424519,0.950000,1.424716,2.076939,-1.967947,-0.000000,0.000000
0.020000,1.465270,0.950000,1.465467,2.037580,-1.967947,0.000000,0.000000
0.020000,1.505235,0.950000,1.505432,1.998221,-1.967947,0.000000,0.000000
0.020000,1.544412,0.950000,1.544609,1.958862,-1.967947,-0.000000,0.000000
0.020000,1.582802,0.950000,1.582999,1.919503,-1.967947,0.000000,0.000000
0.020000,1.620405,0.950000,1.620602,1.880145,-1.967947,0.000000,0.000000
0.020000,1.657221,0.950000,1.657418,1.840786,-1.967947,-0.000000,0.000000
0.020000,1.693249,0.950000,1.693446,1.801427,-1.967947,0.000000,0.000000
0.020000,1.728491,0.950000,1.728687,1.762068,-1.967947,0.000000,0.000000
0.020000,1.762945,0.950000,1.763142,1.722709,-1.967947,-0.000000,0.000000
0.020000,1.796612,0.950000,1.796809,1.683350,-1.967947,0.000000,0.000000
0.020000,1.829492,0.950000,1.829688,1.643991,-1.967947,-0.000000,0.000000
0.020000,1.861584,0.950000,1.861781,1.604632,-1.967947,0.000000,0.000000
0.020000,1.892890,0.950000,1.893087,1.565273,-1.967947,-0.000000,0.000000
0.020000,1.923408,0.950000,1.923605,1.525914,-1.967947,-0.000000,0.000000
0.020000,1.953139,0.950000,1.953336,1.486555,-1.967947,0.000000,0.000000
0.020000,1.982083,0.950000,1.982280,1.447196,-1.967947,-0.000000,0.000000
0.020000,2.010240,0.950000,2.010437,1.407837,-1.967947,0.000000,0.000000
0.020000,2.037609,0.950000,2.037806,1.368478,-1.967947,-0.000000,0.000000
0.020000,2.064192,0.950000,2.064389,1.329119,-1.967947,0.000000,0.000000
0.020000,2.089987,0.950000,2.090184,1.289760,-1.967947,-0.000000,0.000000
0.020000,2.114995,0.950000,2.115192,1.250401,-1.967947,0.000000,0.000000
0.020000,2.139216,0.950000,2.139413,1.211043,-1.967947,0.000000,0.000000
0.020000,2.162650,0.950000,2.162846,1.171684,-1.967947,-0.000000,0.000000
0.020000,2.185296,0.950000,2.185493,1.132325,-1.967947,0.000000,0.000000
0.020000,2.207155,0.950000,2.207352,1.092966,-1.967947,0.000000,0.000000
0.020000,2.228227,0.950000,2.228424,1.053607,-1.967947,0.000000,0.000000
0.020000,2.248512,0.950000,2.248709,1.014248,-1.967947,-0.000000,0.000000
0.020000,2.268010,0.950000,2.268207,0.974889,-1.967947,0.000000,0.000000
0.020000,2.286721,0.950000,2.286918,0.935530,-1.967947,0.000000,0.000000
0.020000,2.304644,0.950000,2.304841,0.896171,-1.967947,-0.000000,0.000000
0.020000,2.321780,0.950000,2.321977,0.856812,-1.967947,0.000000,0.000000
0.020000,2.338130,0.950000,2.338326,0.817453,-1.967947,0.000000,0.000000
0.020000,2.353691,0.950000,2.353888,0.778094,-1.967947,-0.000000,0.000000
0.020000,2.368466,0.950000,2.368663,0.738735,-1.967947,0.000000,0.000000
0.020000,2.382454,0.950000,2.382650,0.699376,-1.967947,0.000000,0.000000
0.020000,2.395654,0.950000,2.395851,0.660017,-1.967947,-0.000000,0.000000
0.020000,2.408067,0.950000,2.408264,0.620658,-1.967947,-0.000000,0.000000
0.020000,2.419693,0.950000,2.419890,0.581299,-1.967947,0.000000,0.000000
0.020000,2.430532,0.950000,2.430729,0.541941,-1.967947,0.000000,0.000000
0.020000,2.440584,0.950000,2.440780,0.502582,-1.967947,-0.000000,0.000000
0.020000,2.449848,0.950000,2.450045,0.463223,-1.967947,0.000000,0.000000
0.020000,2.458325,0.950000,2.458522,0.423864,-1.967947,-0.000000,0.000000
0.020000,2.466015,0.950000,2.466212,0.384505,-1.967947,0.000000,0.000000
